"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","moneyness","logmoneyness","TimeToExp"
"98","SPY231207C00455000","REGULAR","USD",2023-12-07,455,1.97,-0.68000007,-25.660378,1.98,2.01,14279,9166,2023-12-06 14:37:23,0.107186662597656,TRUE,1.00228571428571,0.00228310601456855,0.0027378507871321
"99","SPY231207C00456000","REGULAR","USD",2023-12-07,456,1.31,-0.68000007,-34.170856,1.34,1.35,66491,7707,2023-12-06 14:39:18,0.0994963098144531,TRUE,1.00008771929825,8.77154511329144e-05,0.0027378507871321
"100","SPY231207C00457000","REGULAR","USD",2023-12-07,457,0.82,-0.62000006,-43.055557,0.83,0.84,112760,12750,2023-12-06 14:39:25,0.0942473388671875,FALSE,0.997899343544858,-0.00210286592868568,0.0027378507871321
"101","SPY231207C00458000","REGULAR","USD",2023-12-07,458,0.47,-0.51,-52.040817,0.46,0.47,127238,4833,2023-12-06 14:39:38,0.0897307824707031,FALSE,0.995720524017467,-0.00428865914866593,0.0027378507871321
"102","SPY231207C00459000","REGULAR","USD",2023-12-07,459,0.24,-0.39999998,-62.5,0.25,0.26,96318,7710,2023-12-06 14:39:36,0.0893645751953125,FALSE,0.993551198257081,-0.00646968509502613,0.0027378507871321
"103","SPY231207C00460000","REGULAR","USD",2023-12-07,460,0.12,-0.29,-70.731705,0.11,0.12,53193,2981,2023-12-06 14:39:22,0.086923193359375,FALSE,0.991391304347826,-0.00864596451762156,0.0027378507871321
"104","SPY231207C00461000","REGULAR","USD",2023-12-07,461,0.05,-0.19,-79.16667,0.05,0.06,22024,3144,2023-12-06 14:38:56,0.0883880224609375,FALSE,0.989240780911063,-0.0108175180311295,0.0027378507871321
"105","SPY231207C00462000","REGULAR","USD",2023-12-07,462,0.04,-0.089999996,-69.230774,0.03,0.04,14630,14221,2023-12-06 14:39:09,0.094735615234375,FALSE,0.987099567099567,-0.0129843661162198,0.0027378507871321
"106","SPY231207C00463000","REGULAR","USD",2023-12-07,463,0.02,-0.05,-71.42857,0.02,0.03,7655,3218,2023-12-06 14:39:25,0.102548037109375,FALSE,0.984967602591793,-0.015146529120715,0.0027378507871321
"107","SPY231207C00464000","REGULAR","USD",2023-12-07,464,0.02,-0.01,-33.333336,0.01,0.02,3905,6666,2023-12-06 14:37:05,0.108407353515625,FALSE,0.982844827586207,-0.0173040272607362,0.0027378507871321
"108","SPY231207C00465000","REGULAR","USD",2023-12-07,465,0.02,0,0,0.01,0.02,4412,3153,2023-12-06 14:28:12,0.11914943359375,FALSE,0.980731182795699,-0.0194568806218373,0.0027378507871321
"109","SPY231207C00466000","REGULAR","USD",2023-12-07,466,0.01,-0.01,-50,0,0.01,9406,1680,2023-12-06 14:36:30,0.1211025390625,FALSE,0.97862660944206,-0.0216051091601268,0.0027378507871321
"110","SPY231207C00467000","REGULAR","USD",2023-12-07,467,0.01,-0.01,-50,0,0.01,910,830,2023-12-06 14:16:23,0.1289149609375,FALSE,0.976531049250535,-0.0237487327033783,0.0027378507871321
"111","SPY231207C00468000","REGULAR","USD",2023-12-07,468,0.01,-0.01,-50,0.01,0.02,2602,1125,2023-12-06 14:36:45,0.1523522265625,FALSE,0.974444444444444,-0.0258877709521277,0.0027378507871321
"112","SPY231207C00469000","REGULAR","USD",2023-12-07,469,0.01,0,0,0,0.01,19,3936,2023-12-06 12:03:09,0.1523522265625,FALSE,0.972366737739872,-0.0280222434807603,0.0027378507871321
"113","SPY231207C00470000","REGULAR","USD",2023-12-07,470,0.01,-0.01,-50,0,0.01,461,1357,2023-12-06 12:57:01,0.1601646484375,FALSE,0.970297872340426,-0.0301521697385852,0.0027378507871321
"114","SPY231207C00471000","REGULAR","USD",2023-12-07,471,0.01,0,0,0,0.01,2017,1835,2023-12-06 14:23:22,0.17188328125,FALSE,0.968237791932059,-0.0322775690508987,0.0027378507871321
"115","SPY231207C00472000","REGULAR","USD",2023-12-07,472,0.01,0,0,0,0.01,771,536,2023-12-06 11:18:49,0.179695703125,FALSE,0.966186440677966,-0.0343984606200363,0.0027378507871321
"116","SPY231207C00473000","REGULAR","USD",2023-12-07,473,0.01,0,0,0,0.01,4,1082,2023-12-05 15:47:57,0.1914143359375,FALSE,0.964143763213531,-0.0365148635264139,0.0027378507871321
"117","SPY231207C00474000","REGULAR","USD",2023-12-07,474,0.01,0,0,0,0.01,2,466,2023-12-06 09:45:43,0.1992267578125,FALSE,0.96210970464135,-0.0386267967295574,0.0027378507871321
"118","SPY231207C00475000","REGULAR","USD",2023-12-07,475,0.01,0,0,0,0.01,12,27,2023-12-04 16:11:50,0.210945390625,FALSE,0.960084210526316,-0.0407342790691221,0.0027378507871321
"119","SPY231207C00476000","REGULAR","USD",2023-12-07,476,0.01,0,0,0,0.01,10,20,2023-12-04 09:43:52,0.2187578125,FALSE,0.958067226890756,-0.042837329265901,0.0027378507871321
"120","SPY231207C00477000","REGULAR","USD",2023-12-07,477,0.01,0,0,0,0.01,11,2915,2023-12-06 09:45:48,0.2304764453125,FALSE,0.956058700209644,-0.0449359659228221,0.0027378507871321
"121","SPY231207C00478000","REGULAR","USD",2023-12-07,478,0.01,0,0,0,0.01,2,906,2023-12-06 14:28:09,0.2382888671875,FALSE,0.954058577405858,-0.0470302075259369,0.0027378507871321
"122","SPY231207C00479000","REGULAR","USD",2023-12-07,479,0.01,0,0,0,0.01,1,2505,2023-12-06 14:28:08,0.2500075,FALSE,0.952066805845512,-0.0491200724453962,0.0027378507871321
"123","SPY231207C00480000","REGULAR","USD",2023-12-07,480,0.01,0,0,0,0.01,1746,1752,2023-12-04 10:54:59,0.257819921875,FALSE,0.950083333333333,-0.0512055789364175,0.0027378507871321
"124","SPY231207C00481000","REGULAR","USD",2023-12-07,481,0.01,0,0,0,0.01,64,81,2023-12-05 10:42:45,0.26563234375,FALSE,0.948108108108108,-0.0532867451402421,0.0027378507871321
"125","SPY231207C00483000","REGULAR","USD",2023-12-07,483,0.01,0,0,0,0.01,NA,1,2023-11-30 14:59:35,0.2851633984375,FALSE,0.944182194616977,-0.0574361286870536,0.0027378507871321
"126","SPY231207C00486000","REGULAR","USD",2023-12-07,486,0.03,0,0,0,0.01,NA,1,2023-11-29 09:44:11,0.312506875,FALSE,0.938353909465021,-0.0636280989349747,0.0027378507871321
"127","SPY231207C00487000","REGULAR","USD",2023-12-07,487,0.02,0,0,0,0.01,2,2,2023-12-01 14:03:25,0.320319296875,FALSE,0.936427104722793,-0.0656835981170707,0.0027378507871321
"128","SPY231207C00488000","REGULAR","USD",2023-12-07,488,0.01,0,0,0,0.01,NA,2,2023-11-29 15:13:56,0.32813171875,FALSE,0.934508196721311,-0.0677348808876282,0.0027378507871321
"129","SPY231207C00490000","REGULAR","USD",2023-12-07,490,0.01,0,0,0,0.01,2,67,2023-12-04 10:51:11,0.351568984375,FALSE,0.93069387755102,-0.0718248661391533,0.0027378507871321
